Study;Estimated r in exp;Estimated r in ctrl
Abedali et al. 2020;0.25613;0.64435
Abedali et al. 2020;0.25613;0.64435
Acar et al. 2014;0.25613;0.64435
Acar et al. 2015;0.25613;0.64435
Antonelli et al. 2022;0.25613;0.64435
Audige et al. 2022;0.25613;0.64435
Banapour et al. 2018;0.25613;0.64435
Benichou et al. 2022;0.25613;0.64435
Bianchi et al. 2020;0.25613;0.64435
Borghesi et al. 2018;0.25613;0.64435
Boylu et al. 2015;0.25613;0.64435
Bravi et al. 2019;0.25613;0.64435
Bravi et al. 2023;0.25613;0.64435
Esen et al. 2013;0.25613;0.64435
Ficarra et al. 2014;0.25613;0.64435
Garisto et al. 2018;0.25613;0.64435
Garisto et al. 2018;0.25613;0.64435
Ghali et al. 2019;0.25613;0.64435
Ghavimi et al. 2021;0.25613;0.64435
Han et al. 2017;0.25613;0.64435
Harke et al. 2018;0.25613;0.64435
Hori et al. 2023;0.25613;0.64435
Ingels et al. 2022;0.25613;0.64435
Kara et al. 2016;0.25613;0.64435
Kim et al. 2012;0.25613;0.64435
Kim et al. 2019;0.25613;0.64435
Kowalewski et al. 2021;0.25613;0.64435
Kowalewski et al. 2023;0.25613;0.64435
Larcher et al. 2020;0.25613;0.64435
Laydner et al. 2013;0.25613;0.64435
Lee et al. 2011;0.25613;0.64435
Lee et al. 2016;0.25613;0.64435
Lee et al. 2021;0.25613;0.64435
Lucas et al. 2012;0.25613;0.64435
Luciani et al. 2017;0.25613;0.64435
Malkoc et al. 2017;0.25613;0.64435
Masson-Lecomte et al. 2013;0.25613;0.64435
Mearini et al. 2016;0.25613;0.64435
Minervini et al. 2013;0.25613;0.64435
Miyake et al. 2015;0.25613;0.64435
Motoyama et al. 2019;0.25613;0.64435
Nelson et al. 2018;0.25613;0.64435
Oh et al. 2014;0.25613;0.64435
Oh et al. 2016;0.25613;0.64435
Porpiglia et al. 2016;0.25613;0.64435
Pradere et al. 2017;0.25613;0.64435
Saoud et al. 2017;0.25613;0.64435
Sawada et al. 2021;0.25613;0.64435
Soisrithong et al. 2021;0.25613;0.64435
Tachibana et al. 2019;0.25613;0.64435
Tachibana et al. 2020;0.25613;0.64435
Takagi et al. 2016;0.25613;0.64435
Takagi et al. 2017;0.25613;0.64435
Takahara et al. 2022;0.25613;0.64435
Tan et al. 2018;0.25613;0.64435
Vittori et al. 2014;0.25613;0.64435
Wang et al. 2016;0.25613;0.64435
Wu et al. 2014;0.25613;0.64435
Yu et al. 2019;0.25613;0.64435
Zargar et al. 2014;0.25613;0.64435
Zeuschner et al. 2021;0.25613;0.64435
Zeuschner et al. 2023;0.25613;0.64435
